id,club,nombre,fundacion,direccion,titulos,estadio,detalles,escudo
Gimnasia y Esgrima (LP), Gimnasia y Esgrima (LP),Club de Gimnasia y Esgrima La Plata,x,1 Campeonato de 1° División (1929) - Copa Centenario 1993,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Gimnasia%20y%20Esgrima%20(LP).png
Godoy Cruz (Mza), Godoy Cruz (Mza),Club Deportivo Godoy Cruz Antonio Tomba,1° de junio de 1921,Godoy Cruz (Mendoza),Liga Mendocina (),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Godoy%20Cruz%20(MZA).png
Independiente, Independiente,Club Atlético Independiente,x,x,7 Copas Libertadores (1964-1965 1972-1973-1974-1975 y 1984) - 2 Copas Sudamericana (2010 y 2017) - 2 Supercopas (1994-1995) - 16 Campeonatos de 1° División (1922 1926 1938-1939 1948 1960 1963 NA67 1970 1971 NA77 NA78 1983 88/89 CL94 y CL02) - 4 Copas Competencia (1914 y 1924-1925-1926) - 2 Copas Río de la Plata (1938-1939) - 2 Copas Ibarguren (1938-1939) - 1 Copa Escobar (1939),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Independiente.png
Ind. Rivadavia (Mza), Ind. Rivadavia (Mza),Club Sportivo Independiente Rivadavia,24 de enero de 1913,"Av. Boulogne Sur Mer 788 - Capital (Mendoza)",11 campeonatos de la Unión Mendocina (1913-1914-1915-1916-1917-1918-1919-1920-1921) y 23 campeonatos de la Liga Mendocina (1924-1925-1926-1927-1928-1929 1932 1935-1936 1938 1940 1945 1960-1961-1962 1965 1967 1970 1972 1976 1978 y 1993-1994),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Ind.%20Rivadavia%20(Mza).png
Instituto (Cba), Instituto (Cba),Instituto Atlético Central Córdoba,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Instituto%20(CBA).png
Lanús, Lanús,Club Atlético Lanús,x,1 Copa Sudamericana (2013) - 1 Copa Conmebol (1996) - 2 Campeonatos de 1° División (AP07 y 2016) - 1 Supercopa Argentina (2016),x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Lan%C3%BAs.png
Nacional (Uru),Nacional (Uru),Club Nacional de Fútbol,x,x,3 Copas Libertadores (1971 1980 y 1988) - 4 Copas de Honor (1905 y 1915-1916-1917) - 2 Copas Competencia (1913 y 1915) - 3 Copas Río de la Plata (1916 y 1919-1920),x,x,x
Newell's Old Boys (Ros), Newell's Old Boys (Ros), Club Atlético Newell's Old Boys,30 de enero de 1906,x,6 Campeonatos de 1° División (1974 87/88 90/91 CL92 CL04 y FI13) - 1 Copa Escobar (1949) - 1 Copa Argentina (1921),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Newell's%20Old%20Boys%20(ROS).png
Nueva Chicago,Nueva Chicago,Club Atlético Nueva Chicago,x,1 Copa Competencia (1933),x,x,x,x
Patronato (Pna),Patronato (Pna),Club Atlético Patronato,x,1 Copa Argentina (2022),x,x,x,x
